date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:04:51	10395/10395	---M-Z	200	added ('OK')	text/html	date:Wed,%2004%20Apr%202018%2011:59:58%20GMT	http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/blog-single.html	C:/wamp64/www/Yash/paid%20template/theme/themes.sindevo.com/the-wedding-date/the-wedding-date-01/blog-single.html	(from http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/index.html)
15:04:55	40022/40022	---M--	200	added ('OK')	image/jpeg	date:Thu,%2006%20Apr%202017%2014:38:10%20GMT	http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/images/thumbs/3.jpg	C:/wamp64/www/Yash/paid%20template/theme/themes.sindevo.com/the-wedding-date/the-wedding-date-01/images/thumbs/3.jpg	(from http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/index.html)
15:05:01	50930/50930	---M--	200	added ('OK')	image/jpeg	date:Thu,%2006%20Apr%202017%2014:38:10%20GMT	http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/images/thumbs/2.jpg	C:/wamp64/www/Yash/paid%20template/theme/themes.sindevo.com/the-wedding-date/the-wedding-date-01/images/thumbs/2.jpg	(from http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/index.html)
15:05:03	49056/49056	---M--	200	added ('OK')	image/jpeg	date:Thu,%2006%20Apr%202017%2014:37:29%20GMT	http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/images/bridemaids1.jpg	C:/wamp64/www/Yash/paid%20template/theme/themes.sindevo.com/the-wedding-date/the-wedding-date-01/images/bridemaids1.jpg	(from http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/index.html)
15:05:05	84977/84977	---M--	200	added ('OK')	image/jpeg	date:Thu,%2006%20Apr%202017%2014:38:11%20GMT	http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/images/thumbs/5.jpg	C:/wamp64/www/Yash/paid%20template/theme/themes.sindevo.com/the-wedding-date/the-wedding-date-01/images/thumbs/5.jpg	(from http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/index.html)
15:05:09	46531/46531	---M--	200	added ('OK')	image/jpeg	date:Thu,%2006%20Apr%202017%2014:37:30%20GMT	http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/images/bridemaids2.jpg	C:/wamp64/www/Yash/paid%20template/theme/themes.sindevo.com/the-wedding-date/the-wedding-date-01/images/bridemaids2.jpg	(from http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/index.html)
15:05:09	37015/37015	---M--	200	added ('OK')	image/jpeg	date:Thu,%2006%20Apr%202017%2014:37:30%20GMT	http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/images/bridemaids3.jpg	C:/wamp64/www/Yash/paid%20template/theme/themes.sindevo.com/the-wedding-date/the-wedding-date-01/images/bridemaids3.jpg	(from http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/index.html)
15:05:12	39484/39484	---M--	200	added ('OK')	image/jpeg	date:Thu,%2006%20Apr%202017%2014:37:31%20GMT	http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/images/bridemaids5.jpg	C:/wamp64/www/Yash/paid%20template/theme/themes.sindevo.com/the-wedding-date/the-wedding-date-01/images/bridemaids5.jpg	(from http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/index.html)
15:05:14	23915/23915	---M--	200	added ('OK')	image/jpeg	date:Thu,%2006%20Apr%202017%2014:37:31%20GMT	http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/images/bridemaids4.jpg	C:/wamp64/www/Yash/paid%20template/theme/themes.sindevo.com/the-wedding-date/the-wedding-date-01/images/bridemaids4.jpg	(from http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/index.html)
15:05:17	35923/35923	---M--	200	added ('OK')	image/jpeg	date:Thu,%2006%20Apr%202017%2014:37:31%20GMT	http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/images/bridemaids6.jpg	C:/wamp64/www/Yash/paid%20template/theme/themes.sindevo.com/the-wedding-date/the-wedding-date-01/images/bridemaids6.jpg	(from http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/index.html)
15:05:17	34166/34166	---M--	200	added ('OK')	image/jpeg	date:Thu,%2006%20Apr%202017%2014:37:34%20GMT	http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/images/groomsmen1.jpg	C:/wamp64/www/Yash/paid%20template/theme/themes.sindevo.com/the-wedding-date/the-wedding-date-01/images/groomsmen1.jpg	(from http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/index.html)
15:05:21	37172/37172	---M--	200	added ('OK')	image/jpeg	date:Thu,%2006%20Apr%202017%2014:37:34%20GMT	http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/images/groomsmen2.jpg	C:/wamp64/www/Yash/paid%20template/theme/themes.sindevo.com/the-wedding-date/the-wedding-date-01/images/groomsmen2.jpg	(from http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/index.html)
15:05:26	43475/43475	---M--	200	added ('OK')	image/jpeg	date:Thu,%2006%20Apr%202017%2014:38:17%20GMT	http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/images/thumbs/9.jpg	C:/wamp64/www/Yash/paid%20template/theme/themes.sindevo.com/the-wedding-date/the-wedding-date-01/images/thumbs/9.jpg	(from http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/index.html)
15:05:26	59777/59777	---M--	200	added ('OK')	image/jpeg	date:Thu,%2006%20Apr%202017%2014:38:09%20GMT	http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/images/thumbs/1.jpg	C:/wamp64/www/Yash/paid%20template/theme/themes.sindevo.com/the-wedding-date/the-wedding-date-01/images/thumbs/1.jpg	(from http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/index.html)
15:05:29	49075/49075	---M--	200	added ('OK')	image/jpeg	date:Thu,%2006%20Apr%202017%2014:38:12%20GMT	http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/images/thumbs/6.jpg	C:/wamp64/www/Yash/paid%20template/theme/themes.sindevo.com/the-wedding-date/the-wedding-date-01/images/thumbs/6.jpg	(from http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/index.html)
15:05:30	937/937	---M--	200	added ('OK')	image/png	date:Thu,%2006%20Apr%202017%2014:37:55%20GMT	http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/images/icons/church.png	C:/wamp64/www/Yash/paid%20template/theme/themes.sindevo.com/the-wedding-date/the-wedding-date-01/images/icons/church.png	(from http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/index.html)
15:05:31	1199/1199	---M--	200	added ('OK')	image/png	date:Thu,%2006%20Apr%202017%2014:37:55%20GMT	http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/images/icons/calendar.png	C:/wamp64/www/Yash/paid%20template/theme/themes.sindevo.com/the-wedding-date/the-wedding-date-01/images/icons/calendar.png	(from http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/index.html)
15:05:32	1397/1397	---M--	200	added ('OK')	image/png	date:Thu,%2006%20Apr%202017%2014:37:56%20GMT	http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/images/icons/glasses.png	C:/wamp64/www/Yash/paid%20template/theme/themes.sindevo.com/the-wedding-date/the-wedding-date-01/images/icons/glasses.png	(from http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/index.html)
15:05:33	39234/39234	---M--	200	added ('OK')	image/jpeg	date:Thu,%2006%20Apr%202017%2014:38:09%20GMT	http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/images/thumbs/10.jpg	C:/wamp64/www/Yash/paid%20template/theme/themes.sindevo.com/the-wedding-date/the-wedding-date-01/images/thumbs/10.jpg	(from http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/index.html)
15:05:34	63414/63414	---M--	200	added ('OK')	image/jpeg	date:Thu,%2006%20Apr%202017%2014:38:12%20GMT	http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/images/thumbs/7.jpg	C:/wamp64/www/Yash/paid%20template/theme/themes.sindevo.com/the-wedding-date/the-wedding-date-01/images/thumbs/7.jpg	(from http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/index.html)
15:05:36	5549/5549	---M--	200	added ('OK')	application/javascript	date:Thu,%2006%20Apr%202017%2014:37:39%20GMT	http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/js/animsition.min.js	C:/wamp64/www/Yash/paid%20template/theme/themes.sindevo.com/the-wedding-date/the-wedding-date-01/js/animsition.min.js	(from http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/index.html)
15:05:36	1658/1658	---M--	200	added ('OK')	application/javascript	date:Wed,%2004%20Apr%202018%2012:00:26%20GMT	http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/js/menu.js	C:/wamp64/www/Yash/paid%20template/theme/themes.sindevo.com/the-wedding-date/the-wedding-date-01/js/menu.js	(from http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/index.html)
15:05:40	12959/12959	---M--	200	added ('OK')	application/javascript	date:Thu,%2006%20Apr%202017%2014:37:42%20GMT	http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/js/jquery.swipebox.min.js	C:/wamp64/www/Yash/paid%20template/theme/themes.sindevo.com/the-wedding-date/the-wedding-date-01/js/jquery.swipebox.min.js	(from http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/index.html)
15:05:42	32448/32448	---M--	200	added ('OK')	application/javascript	date:Thu,%2006%20Apr%202017%2014:37:42%20GMT	http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/js/jquery.countdown.js	C:/wamp64/www/Yash/paid%20template/theme/themes.sindevo.com/the-wedding-date/the-wedding-date-01/js/jquery.countdown.js	(from http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/index.html)
15:05:47	97168/97168	---M--	200	added ('OK')	application/javascript	date:Thu,%2006%20Apr%202017%2014:37:41%20GMT	http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/js/jquery-1.12.4.min.js	C:/wamp64/www/Yash/paid%20template/theme/themes.sindevo.com/the-wedding-date/the-wedding-date-01/js/jquery-1.12.4.min.js	(from http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/index.html)
15:05:47	52797/52797	---M--	200	added ('OK')	application/javascript	date:Thu,%2006%20Apr%202017%2014:37:48%20GMT	http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/owl-carousel/owl.carousel.js	C:/wamp64/www/Yash/paid%20template/theme/themes.sindevo.com/the-wedding-date/the-wedding-date-01/owl-carousel/owl.carousel.js	(from http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/index.html)
15:05:48	1972/1972	---M--	200	added ('OK')	application/javascript	date:Thu,%2006%20Apr%202017%2014:37:39%20GMT	http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/js/classie.js	C:/wamp64/www/Yash/paid%20template/theme/themes.sindevo.com/the-wedding-date/the-wedding-date-01/js/classie.js	(from http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/index.html)
15:05:48	34339/34339	---M--	200	added ('OK')	application/javascript	date:Thu,%2006%20Apr%202017%2014:37:45%20GMT	http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/js/velocity.min.js	C:/wamp64/www/Yash/paid%20template/theme/themes.sindevo.com/the-wedding-date/the-wedding-date-01/js/velocity.min.js	(from http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/index.html)
15:05:49	3517/3517	---M--	200	added ('OK')	application/javascript	date:Wed,%2004%20Apr%202018%2012:00:25%20GMT	http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/js/scrollheader.js	C:/wamp64/www/Yash/paid%20template/theme/themes.sindevo.com/the-wedding-date/the-wedding-date-01/js/scrollheader.js	(from http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/index.html)
15:05:50	10579/10579	---M--	200	added ('OK')	application/javascript	date:Thu,%2006%20Apr%202017%2014:37:41%20GMT	http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/js/jquery.arctext.js	C:/wamp64/www/Yash/paid%20template/theme/themes.sindevo.com/the-wedding-date/the-wedding-date-01/js/jquery.arctext.js	(from http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/index.html)
15:05:51	5888/5888	---M--	200	added ('OK')	application/javascript	date:Thu,%2006%20Apr%202017%2014:37:41%20GMT	http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/js/jquery.smoove.js	C:/wamp64/www/Yash/paid%20template/theme/themes.sindevo.com/the-wedding-date/the-wedding-date-01/js/jquery.smoove.js	(from http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/index.html)
15:05:52	1485/1485	---M--	200	added ('OK')	application/javascript	date:Wed,%2004%20Apr%202018%2012:00:25%20GMT	http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/js/custom.js	C:/wamp64/www/Yash/paid%20template/theme/themes.sindevo.com/the-wedding-date/the-wedding-date-01/js/custom.js	(from http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/index.html)
15:05:53	746/746	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2023%20Apr%202019%2005:43:48%20GMT	http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/css/reset.css	C:/wamp64/www/Yash/paid%20template/theme/themes.sindevo.com/the-wedding-date/the-wedding-date-01/css/reset.3c.delayed	(from http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/style.css)
15:05:54	872/872	---M--	200	added ('OK')	image/png	date:Thu,%2006%20Apr%202017%2014:37:57%20GMT	http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/images/icons/location_white.png	C:/wamp64/www/Yash/paid%20template/theme/themes.sindevo.com/the-wedding-date/the-wedding-date-01/images/icons/location_white.png	(from http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/style.css)
15:05:56	645/645	---M--	200	added ('OK')	image/png	date:Thu,%2006%20Apr%202017%2014:37:58%20GMT	http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/images/icons/phone_white.png	C:/wamp64/www/Yash/paid%20template/theme/themes.sindevo.com/the-wedding-date/the-wedding-date-01/images/icons/phone_white.png	(from http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/style.css)
15:05:57	135/135	---M--	200	added ('OK')	image/png	date:Thu,%2006%20Apr%202017%2014:37:29%20GMT	http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/images/black_trans.png	C:/wamp64/www/Yash/paid%20template/theme/themes.sindevo.com/the-wedding-date/the-wedding-date-01/images/black_trans.png	(from http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/style.css)
15:05:58	4303/4303	---M--	200	added ('OK')	image/png	date:Thu,%2006%20Apr%202017%2014:37:32%20GMT	http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/images/countdown_frame.png	C:/wamp64/www/Yash/paid%20template/theme/themes.sindevo.com/the-wedding-date/the-wedding-date-01/images/countdown_frame.png	(from http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/style.css)
15:05:58	329/329	---M--	200	added ('OK')	image/png	date:Thu,%2006%20Apr%202017%2014:37:32%20GMT	http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/images/checked.png	C:/wamp64/www/Yash/paid%20template/theme/themes.sindevo.com/the-wedding-date/the-wedding-date-01/images/checked.png	(from http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/style.css)
15:05:59	64/64	---M--	200	added ('OK')	image/gif	date:Thu,%2006%20Apr%202017%2014:37:28%20GMT	http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/images/arrowdown.gif	C:/wamp64/www/Yash/paid%20template/theme/themes.sindevo.com/the-wedding-date/the-wedding-date-01/images/arrowdown.gif	(from http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/style.css)
15:06:00	2608/2608	---M--	200	added ('OK')	image/gif	date:Thu,%2006%20Apr%202017%2014:37:52%20GMT	http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/css/img/loader.gif	C:/wamp64/www/Yash/paid%20template/theme/themes.sindevo.com/the-wedding-date/the-wedding-date-01/css/img/loader.gif	(from http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/css/swipebox.css)
